age,anxiety,confidence,datetime,ethnicity,gender,identification,logfile,meeting,response_time,subject_nr,suspicion,exclusions,event,suspect,target,condition,decision,age_category,anxiety.new,confidence.new,date,week,target_name,shown_name,accuracy,choosing,decision_evaluation
15 - 20,4,4,03/24/17 11:12:03,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-45.csv,"NO, I have not met this person before",15881,45,"NO, I did not suspect that I may be asked to identify this person later",keep,12,2,absent,live,rejection,young,4,4,Mar-24,8,i,g,correct,non-chooser,correct.rejection
15 - 20,1 Not at all anxious,6,03/24/17 11:16:23,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-46.csv,"NO, I have not met this person before",14014,46,"NO, I did not suspect that I may be asked to identify this person later",keep,12,3,absent,live,rejection,young,1,6,Mar-24,8,i,f,correct,non-chooser,correct.rejection
15 - 20,1 Not at all anxious,6,03/24/17 11:20:41,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-47.csv,"NO, I have not met this person before",12971,47,"NO, I did not suspect that I may be asked to identify this person later",keep,12,3,absent,live,rejection,young,1,6,Mar-24,8,i,f,correct,non-chooser,correct.rejection
21 - 25,2,6,03/24/17 11:29:36,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-48.csv,"NO, I have not met this person before",34458,48,"NO, I did not suspect that I may be asked to identify this person later",keep,12,3,absent,live,rejection,young,2,6,Mar-24,8,i,f,correct,non-chooser,correct.rejection
15 - 20,3,6,10/07/2017 10:37,White,Woman,"YES, I believe that was the person",C:/Users/Laptop9/Desktop/Saturday 0710/subject-300.csv,"NO, I have not met this person before",25237,300,"YES, I suspected that I may be asked to identify this person later",keep,13,1,present,live,identification,young,3,6,10-Jul,9,j,j,correct,chooser,hit
36 - 40,7 Very anxious,6,10/07/2017 10:43,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/Saturday 0710/subject-301.csv,"NO, I have not met this person before",49858,301,"NO, I did not suspect that I may be asked to identify this person later",keep,13,1,present,live,rejection,old,7,6,10-Jul,9,j,j,incorrect,non-chooser,miss
51 - 55,5,5,10/07/2017 10:47,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/Saturday 0710/subject-302.csv,"NO, I have not met this person before",59217,302,"NO, I did not suspect that I may be asked to identify this person later",keep,13,1,present,live,rejection,old,5,5,10-Jul,9,j,j,incorrect,non-chooser,miss
56 - 60,4,5,10/07/2017 10:53,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/Saturday 0710/subject-303.csv,"NO, I have not met this person before",31927,303,"YES, I suspected that I may be asked to identify this person later",keep,13,1,present,live,rejection,old,4,5,10-Jul,9,j,j,incorrect,non-chooser,miss
15 - 20,2,5,10/07/2017 12:08,White,Man,"NO, I do not believe that was the person",C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-306.csv,"NO, I have not met this person before",41892,306,"NO, I did not suspect that I may be asked to identify this person later",keep,13,1,present,live,rejection,young,2,5,10-Jul,9,j,j,incorrect,non-chooser,miss
15 - 20,2,5,10/07/2017 13:29,White,Woman,"NO, I do not believe that was the person",C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-307.csv,"NO, I have not met this person before",34230,307,"NO, I did not suspect that I may be asked to identify this person later",keep,15,1,present,live,rejection,young,2,5,10-Jul,9,j,j,incorrect,non-chooser,miss
46 - 50,2,6,10/07/2017 13:32,White,Woman,"NO, I do not believe that was the person",C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-308.csv,"NO, I have not met this person before",34641,308,"YES, I suspected that I may be asked to identify this person later",keep,15,1,present,live,rejection,old,2,6,10-Jul,9,j,j,incorrect,non-chooser,miss
15 - 20,2,4,10/07/2017 13:36,White,Man,"NO, I do not believe that was the person",C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-309.csv,"NO, I have not met this person before",47788,309,"NO, I did not suspect that I may be asked to identify this person later",keep,15,1,present,live,rejection,young,2,4,10-Jul,9,j,j,incorrect,non-chooser,miss
15 - 20,6,3,10/07/2017 13:47,White,Woman,"YES, I believe that was the person",C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-310.csv,"NO, I have not met this person before",27214,310,"NO, I did not suspect that I may be asked to identify this person later",keep,15,1,present,live,identification,young,6,3,10-Jul,9,j,j,correct,chooser,hit
51 - 55,4,5,10/07/2017 13:53,White,Man,I DON'T KNOW,C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-311.csv,"NO, I have not met this person before",77402,311,"NO, I did not suspect that I may be asked to identify this person later",keep,15,1,present,live,dk,old,4,5,10-Jul,9,j,j,incorrect,non-chooser,miss
15 - 20,3,6,10/07/2017 14:04,White,Woman,"YES, I believe that was the person",C:/Users/Eva/Dropbox/_Eva/__Skolni/ID/OpenDays/subject-312.csv,"NO, I have not met this person before",14915,312,"NO, I did not suspect that I may be asked to identify this person later",keep,15,1,present,live,identification,young,3,6,10-Jul,9,j,j,correct,chooser,hit
15 - 20,4,5,10/07/2017 10:40,White,Woman,"YES, I believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-350.csv,"NO, I have not met this person before",29524,350,"YES, I suspected that I may be asked to identify this person later",keep,13,2,absent,live,identification,young,4,5,10-Jul,9,j,k,incorrect,chooser,false.alarm
15 - 20,4,4,10/07/2017 10:48,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-351.csv,"NO, I have not met this person before",30561,351,"NO, I did not suspect that I may be asked to identify this person later",keep,13,2,absent,live,rejection,young,4,4,10-Jul,9,j,k,correct,non-chooser,correct.rejection
46 - 50,3,6,10/07/2017 10:54,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-352.csv,"NO, I have not met this person before",16377,352,"NO, I did not suspect that I may be asked to identify this person later",keep,13,2,absent,live,rejection,old,3,6,10-Jul,9,j,k,correct,non-chooser,correct.rejection
15 - 20,2,6,10/07/2017 11:04,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-353.csv,"NO, I have not met this person before",37437,353,"NO, I did not suspect that I may be asked to identify this person later",keep,13,2,absent,live,rejection,young,2,6,10-Jul,9,j,k,correct,non-chooser,correct.rejection
15 - 20,4,5,10/07/2017 11:43,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-354.csv,"NO, I have not met this person before",27730,354,"NO, I did not suspect that I may be asked to identify this person later",keep,14,3,present,live,rejection,young,4,5,10-Jul,9,l,l,incorrect,non-chooser,miss
15 - 20,4,6,10/07/2017 11:51,White,Woman,"YES, I believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-355.csv,"NO, I have not met this person before",27880,355,"NO, I did not suspect that I may be asked to identify this person later",keep,14,3,present,live,identification,young,4,6,10-Jul,9,l,l,correct,chooser,hit
51 - 55,4,4,10/07/2017 12:01,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-356.csv,"NO, I have not met this person before",34977,356,"NO, I did not suspect that I may be asked to identify this person later",keep,14,3,present,live,rejection,old,4,4,10-Jul,9,l,l,incorrect,non-chooser,miss
15 - 20,3,5,10/07/2017 12:10,White,Woman,"YES, I believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-357.csv,"NO, I have not met this person before",44029,357,"NO, I did not suspect that I may be asked to identify this person later",keep,14,3,present,live,identification,young,3,5,10-Jul,9,l,l,correct,chooser,hit
51 - 55,2,7 Very confident,10/07/2017 13:32,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-358.csv,"NO, I have not met this person before",19615,358,"NO, I did not suspect that I may be asked to identify this person later",keep,15,2,absent,live,rejection,old,2,7,10-Jul,9,j,k,correct,non-chooser,correct.rejection
15 - 20,1 Not at all anxious,6,10/07/2017 13:49,Mixed,Woman,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-359.csv,"NO, I have not met this person before",41837,359,"NO, I did not suspect that I may be asked to identify this person later",keep,15,2,absent,live,rejection,young,1,6,10-Jul,9,j,k,correct,non-chooser,correct.rejection
15 - 20,5,4,10/07/2017 14:04,White,Man,"YES, I believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-360.csv,"NO, I have not met this person before",32910,360,"NO, I did not suspect that I may be asked to identify this person later",keep,15,2,absent,live,identification,young,5,4,10-Jul,9,j,k,incorrect,chooser,false.alarm
56 - 60,1 Not at all anxious,6,10/07/2017 14:29,Black,Man,"NO, I do not believe that was the person",C:/Users/Laptop1/Desktop/Saturday 0710/subject-361.csv,"NO, I have not met this person before",10822,361,"NO, I did not suspect that I may be asked to identify this person later",keep,16,3,present,live,rejection,old,1,6,10-Jul,9,l,l,incorrect,non-chooser,miss
15 - 20,6,2,10/07/2017 14:36,White,Woman,I DON'T KNOW,C:/Users/Laptop1/Desktop/Saturday 0710/subject-362.csv,"NO, I have not met this person before",42276,362,"NO, I did not suspect that I may be asked to identify this person later",keep,16,3,present,live,dk,young,6,2,10-Jul,9,l,l,incorrect,non-chooser,miss
15 - 20,4,5,02/08/2017 14:26,Black,no,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-100.csv,"NO, I have not met this person before",35671,100,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,photo,rejection,young,4,5,02-Aug,1,a,a,incorrect,non-chooser,miss
46 - 50,5,5,02/08/2017 14:40,Asian,Man,"YES, I believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-102.csv,"NO, I have not met this person before",64421,102,"YES, I suspected that I may be asked to identify this person later",keep,1,1,present,photo,identification,old,5,5,02-Aug,1,a,a,correct,chooser,hit
46 - 50,1 Not at all anxious,7 Very confident,02/08/2017 14:49,White,Man,"YES, I believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-103.csv,"NO, I have not met this person before",3978,103,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,photo,identification,old,1,7,02-Aug,1,a,a,correct,chooser,hit
56 - 60,3,7 Very confident,02/08/2017 14:54,White,Woman,"YES, I believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-104.csv,"NO, I have not met this person before",20285,104,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,photo,identification,old,3,7,02-Aug,1,a,a,correct,chooser,hit
15 - 20,5,4,02/08/2017 15:02,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-105.csv,"NO, I have not met this person before",35425,105,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,photo,rejection,young,5,4,02-Aug,1,a,a,incorrect,non-chooser,miss
15 - 20,5,5,02/15/17 14:27:11,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-106.csv,"NO, I have not met this person before",16134,106,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,photo,rejection,young,5,5,Feb-15,2,a,c,correct,non-chooser,correct.rejection
15 - 20,3,6,02/15/17 14:31:56,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-107.csv,"NO, I have not met this person before",6029,107,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,photo,identification,young,3,6,Feb-15,2,a,a,correct,chooser,hit
51 - 55,1 Not at all anxious,4,02/15/17 14:36:55,White,Man,I DON'T KNOW,C:/Users/standalone/Desktop/OpenDays2017/subject-108.csv,"NO, I have not met this person before",13605,108,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,photo,dk,old,1,4,Feb-15,2,a,a,incorrect,non-chooser,miss
41 - 45,3,7 Very confident,02/15/17 14:44:42,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-109.csv,"NO, I have not met this person before",29644,109,"YES, I suspected that I may be asked to identify this person later",keep,2,2,absent,photo,rejection,old,3,7,Feb-15,2,a,b,correct,non-chooser,correct.rejection
51 - 55,1 Not at all anxious,6,02/15/17 14:49:50,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-110.csv,"NO, I have not met this person before",6828,110,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,photo,identification,old,1,6,Feb-15,2,a,a,correct,chooser,hit
15 - 20,2,7 Very confident,02/15/17 15:04:49,White,Man,I DON'T KNOW,C:/Users/standalone/Desktop/OpenDays2017/subject-111.csv,"NO, I have not met this person before",8932,111,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,photo,dk,young,2,7,Feb-15,2,a,a,incorrect,non-chooser,miss
15 - 20,2,5,02/15/17 15:08:58,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-112.csv,"NO, I have not met this person before",14563,112,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,photo,identification,young,2,5,Feb-15,2,a,b,incorrect,chooser,false.alarm
46 - 50,4,5,02/15/17 15:14:13,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-113.csv,"NO, I have not met this person before",24001,113,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,photo,rejection,old,4,5,Feb-15,2,a,b,correct,non-chooser,correct.rejection
46 - 50,3,6,02/15/17 15:21:14,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-114.csv,"NO, I have not met this person before",7978,114,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,photo,identification,old,3,6,Feb-15,2,a,b,incorrect,chooser,false.alarm
15 - 20,3,2,02/15/17 15:28:08,White,Man,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-115.csv,"NO, I have not met this person before",6622,115,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,photo,rejection,young,3,2,Feb-15,2,a,c,correct,non-chooser,correct.rejection
15 - 20,4,4,02/15/17 15:07:18,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-270.csv,"NO, I have not met this person before",5288,270,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,photo,rejection,young,4,4,Feb-15,2,a,c,correct,non-chooser,correct.rejection
51 - 55,2,7 Very confident,02/15/17 15:13:16,White,Woman,"YES, I believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-271.csv,"NO, I have not met this person before",13969,271,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,photo,identification,old,2,7,Feb-15,2,a,a,correct,chooser,hit
46 - 50,1 Not at all anxious,2,02/15/17 15:18:42,Asian,Man,I DON'T KNOW,C:/Users/Laptop6/Desktop/Open Days 2017/subject-272.csv,"NO, I have not met this person before",9547,272,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,photo,dk,old,1,2,Feb-15,2,a,c,incorrect,non-chooser,correct.rejection
46 - 50,3,5,02/15/17 15:23:48,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-273.csv,"NO, I have not met this person before",15182,273,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,photo,rejection,old,3,5,Feb-15,2,a,c,correct,non-chooser,correct.rejection
15 - 20,4,5,02/15/17 15:31:36,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-274.csv,"NO, I have not met this person before",11389,274,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,photo,rejection,young,4,5,Feb-15,2,a,b,correct,non-chooser,correct.rejection
15 - 20,2,7 Very confident,02/22/17 14:34:06,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-116.csv,"NO, I have not met this person before",10954,116,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,photo,identification,young,2,7,Feb-22,3,c,c,correct,chooser,hit
41 - 45,6,5,02/22/17 14:49:22,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-117.csv,"NO, I have not met this person before",6680,117,"NO, I did not suspect that I may be asked to identify this person later",keep,3,2,absent,photo,identification,old,6,5,Feb-22,3,c,b,incorrect,chooser,false.alarm
46 - 50,1 Not at all anxious,6,02/22/17 14:54:58,White,Man,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-118.csv,"NO, I have not met this person before",3032,118,"NO, I did not suspect that I may be asked to identify this person later",keep,3,2,absent,photo,rejection,old,1,6,Feb-22,3,c,b,correct,non-chooser,correct.rejection
15 - 20,2,5,02/22/17 15:05:06,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-119.csv,"NO, I have not met this person before",3962,119,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,photo,identification,young,2,5,Feb-22,3,c,c,correct,chooser,hit
15 - 20,2,5,02/22/17 15:10:43,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-120.csv,"NO, I have not met this person before",10516,120,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,photo,identification,young,2,5,Feb-22,3,c,c,correct,chooser,hit
51 - 55,2,4,03/08/2017 14:37,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-121.csv,"NO, I have not met this person before",23084,121,"NO, I did not suspect that I may be asked to identify this person later",keep,4,2,absent,photo,rejection,old,2,4,03-Aug,4,c,b,correct,non-chooser,correct.rejection
51 - 55,1 Not at all anxious,7 Very confident,03/08/2017 14:42,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-122.csv,"NO, I have not met this person before",10689,122,"NO, I did not suspect that I may be asked to identify this person later",keep,4,3,absent,photo,identification,old,1,7,03-Aug,4,c,a,incorrect,chooser,false.alarm
61 - 65,4,6,03/08/2017 14:48,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-123.csv,"NO, I have not met this person before",16728,123,"NO, I did not suspect that I may be asked to identify this person later",keep,4,1,present,photo,identification,old,4,6,03-Aug,4,c,c,correct,chooser,hit
15 - 20,4,5,03/08/2017 15:06,Mixed,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-124.csv,"NO, I have not met this person before",29324,124,"NO, I did not suspect that I may be asked to identify this person later",keep,4,3,absent,photo,identification,young,4,5,03-Aug,4,c,a,incorrect,chooser,false.alarm
15 - 20,5,3,03/15/17 14:28:56,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-125.csv,"NO, I have not met this person before",34017,125,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,young,5,3,Mar-15,5,d,e,correct,non-chooser,correct.rejection
15 - 20,4,5,03/15/17 14:33:40,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-126.csv,"NO, I have not met this person before",7343,126,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,young,4,5,Mar-15,5,d,e,correct,non-chooser,correct.rejection
46 - 50,3,6,03/15/17 14:39:50,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-127.csv,"NO, I have not met this person before",23974,127,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,old,3,6,Mar-15,5,d,e,correct,non-chooser,correct.rejection
46 - 50,3,6,03/15/17 14:45:15,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-128.csv,"NO, I have not met this person before",7838,128,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,photo,rejection,old,3,6,Mar-15,5,d,d,incorrect,non-chooser,miss
51 - 55,4,4,03/15/17 14:51:45,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-129.csv,"NO, I have not met this person before",7264,129,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,old,4,4,Mar-15,5,d,e,correct,non-chooser,correct.rejection
46 - 50,4,5,03/15/17 14:57:25,White,Man,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-130.csv,"NO, I have not met this person before",21662,130,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,old,4,5,Mar-15,5,d,e,correct,non-chooser,correct.rejection
15 - 20,2,5,03/15/17 15:03:42,White,Man,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-131.csv,"NO, I have not met this person before",11954,131,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,photo,rejection,young,2,5,Mar-15,5,d,d,incorrect,non-chooser,miss
15 - 20,4,4,03/15/17 15:08:01,Asian,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-132.csv,"NO, I have not met this person before",31616,132,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,young,4,4,Mar-15,5,d,e,correct,non-chooser,correct.rejection
56 - 60,1 Not at all anxious,5,03/15/17 15:17:01,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-133.csv,"NO, I have not met this person before",26594,133,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,old,1,5,Mar-15,5,d,e,correct,non-chooser,correct.rejection
15 - 20,3,6,03/15/17 15:37:39,Mixed,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-134.csv,"NO, I have not met this person before",24196,134,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,photo,identification,young,3,6,Mar-15,5,d,d,correct,chooser,hit
15 - 20,2,5,03/15/17 15:42:31,Mixed,Man,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-135.csv,"NO, I have not met this person before",23755,135,"NO, I did not suspect that I may be asked to identify this person later",keep,5,2,absent,photo,rejection,young,2,5,Mar-15,5,d,e,correct,non-chooser,correct.rejection
15 - 20,6,4,03/18/17 12:13:06,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-136.csv,"NO, I have not met this person before",34965,136,"NO, I did not suspect that I may be asked to identify this person later",keep,6,2,absent,photo,rejection,young,6,4,Mar-18,6,g,h,correct,non-chooser,correct.rejection
15 - 20,4,5,03/18/17 12:19:14,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-137.csv,"NO, I have not met this person before",3602,137,"NO, I did not suspect that I may be asked to identify this person later",keep,6,1,present,photo,identification,young,4,5,Mar-18,6,g,g,correct,chooser,hit
56 - 60,1 Not at all anxious,7 Very confident,03/18/17 12:28:37,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-138.csv,"NO, I have not met this person before",11308,138,"YES, I suspected that I may be asked to identify this person later",keep,6,1,present,photo,identification,old,1,7,Mar-18,6,g,g,correct,chooser,hit
66 - 70,1 Not at all anxious,6,03/18/17 12:36:15,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-139.csv,"NO, I have not met this person before",9166,139,"NO, I did not suspect that I may be asked to identify this person later",keep,6,3,absent,photo,rejection,old,1,6,Mar-18,6,g,f,correct,non-chooser,correct.rejection
46 - 50,2,2,03/18/17 13:16:43,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/SuperSaturday\subject-140.csv,"NO, I have not met this person before",32598,140,"NO, I did not suspect that I may be asked to identify this person later",keep,7,3,absent,photo,rejection,old,2,2,Mar-18,6,g,f,correct,non-chooser,correct.rejection
15 - 20,4,2,03/18/17 13:09:54,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-141.csv,"NO, I have not met this person before",18516,141,"NO, I did not suspect that I may be asked to identify this person later",keep,7,1,present,photo,rejection,young,4,2,Mar-18,6,g,g,incorrect,non-chooser,miss
46 - 50,5,5,03/18/17 14:11:11,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-143.csv,"NO, I have not met this person before",7365,143,"NO, I did not suspect that I may be asked to identify this person later",keep,8,1,present,photo,identification,old,5,5,Mar-18,6,g,g,correct,chooser,hit
46 - 50,2,7 Very confident,03/18/17 14:17:13,White,Man,"YES, I believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-144.csv,"NO, I have not met this person before",25619,144,"YES, I suspected that I may be asked to identify this person later",keep,8,1,present,photo,identification,old,2,7,Mar-18,6,g,g,correct,chooser,hit
51 - 55,2,5,03/18/17 14:22:59,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-145.csv,"NO, I have not met this person before",4706,145,"NO, I did not suspect that I may be asked to identify this person later",keep,8,1,present,photo,identification,old,2,5,Mar-18,6,g,g,correct,chooser,hit
15 - 20,3,5,03/18/17 14:30:37,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-146.csv,"NO, I have not met this person before",4763,146,"NO, I did not suspect that I may be asked to identify this person later",keep,8,1,present,photo,rejection,young,3,5,Mar-18,6,g,g,incorrect,non-chooser,miss
41 - 45,no,no,03/18/17 14:36:47,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/SuperSaturday/subject-147.csv,"NO, I have not met this person before",11667,147,"NO, I did not suspect that I may be asked to identify this person later",keep,8,1,present,photo,identification,old,NA,NA,Mar-18,6,g,g,correct,chooser,hit
15 - 20,1 Not at all anxious,7 Very confident,03/22/17 14:33:41,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-148.csv,"NO, I have not met this person before",4625,148,"YES, I suspected that I may be asked to identify this person later",keep,11,3,absent,photo,rejection,young,1,7,Mar-22,7,h,f,correct,non-chooser,correct.rejection
41 - 45,1 Not at all anxious,7 Very confident,03/22/17 14:39:07,White,Woman,"NO, I do not believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-149.csv,"NO, I have not met this person before",10955,149,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,photo,rejection,old,1,7,Mar-22,7,h,h,incorrect,non-chooser,miss
46 - 50,5,3,03/22/17 14:44:59,White,Woman,I DON'T KNOW,C:/Users/standalone/Desktop/OpenDays2017/subject-150.csv,"NO, I have not met this person before",7807,150,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,photo,dk,old,5,3,Mar-22,7,h,h,incorrect,non-chooser,miss
51 - 55,3,5,03/22/17 14:50:31,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-151.csv,"NO, I have not met this person before",11776,151,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,photo,identification,old,3,5,Mar-22,7,h,h,correct,chooser,hit
56 - 60,2,6,03/22/17 14:56:10,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-152.csv,"NO, I have not met this person before",14234,152,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,photo,identification,old,2,6,Mar-22,7,h,h,correct,chooser,hit
66 - 70,1 Not at all anxious,6,03/22/17 15:01:47,White,Woman,"YES, I believe that was the person",C:/Users/standalone/Desktop/OpenDays2017/subject-153.csv,"NO, I have not met this person before",7044,153,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,photo,identification,old,1,6,Mar-22,7,h,h,correct,chooser,hit
