"confidence_immediate","identification","condition","gender_updated","target_correct","target_pair","identification_decision","not_sure_decision","repetition_numeric","unique_decision","pre_conf","row","ppt_gender","age","ethnicity","post_conf","comfort","face","height","posture","body","movement","behaviour","ID_testify","ID_closest","ID_justRecognized","ID_lookedLike","ID_wouldNotPick","nonID_sure","nonID_noMemory","nonID_seeOthersFirst","nonID_lookedLike","nonID_wouldID","ID","choosing","accuracy","person"
"40","Yes","HS","female","present","a","target","other",0,"identification",60,"front","woman","45","white",50,80,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"27HS1","chooser","correct",6
"60","Yes","live","female","present","a","filler","other",0,"identification",60,"front","man","18","white",70,60,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"27live1","chooser","incorrect",3
"40","Yes","live","male","absent","a","filler","other",0,"identification",30,"front","man","18","white",30,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"27live1","chooser","incorrect",1
"no","No","FB","female","absent","a","rejection","other",0,"rejection",80,"middle","woman","17","mixed",80,70,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"28FB1","non-chooser","correct",4
"50","Yes","FB","male","present","a","target","other",0,"identification",70,"middle","woman","17","mixed",80,70,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"28FB1","chooser","correct",6
"no","No","HS","female","absent","a","rejection","other",0,"rejection",80,"front","woman","53","white",40,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"28HS1","non-chooser","correct",1
"70","Yes","HS","male","present","a","filler","other",0,"identification",70,"front","woman","53","white",80,80,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"28HS1","chooser","incorrect",5
"50","Yes","live","female","present","a","target","other",1,"identification",80,"middle","woman","17","white",50,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28live1","chooser","correct",6
"no","Not sure","live","male","absent","a","rejection","innocent",0,"not sure",80,"middle","woman","17","white",60,100,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"28live1","non-chooser","correct",7
"60","Yes","FB","female","present","a","target","other",0,"identification",30,"front","woman","17","white",60,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"29FB1","chooser","correct",6
"70","Yes","FB","male","absent","a","filler","other",0,"identification",20,"front","woman","17","white",60,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"29FB1","chooser","incorrect",5
"no","Not sure","HS","female","absent","a","rejection","innocent",0,"not sure",80,"middle","woman","18","white",80,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"29HS1","non-chooser","correct",7
"40","Yes","HS","male","present","a","filler","other",0,"identification",70,"middle","woman","18","white",70,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"29HS1","chooser","incorrect",1
"90","Yes","live","female","present","b","target","other",1,"identification",90,"front","woman","17","white",80,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"29live1","chooser","correct",7
"80","Yes","FB","female","present","a","target","other",0,"identification",80,"front","woman","17","white",90,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"30FB1","chooser","correct",6
"no","No","FB","male","absent","a","rejection","other",0,"rejection",70,"front","woman","17","white",60,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"30FB1","non-chooser","correct",3
"50","Yes","HS","female","absent","a","innocent","other",0,"identification",40,"front","woman","17","white",80,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"30HS1","chooser","incorrect",7
"no","No","HS","male","present","a","rejection","other",0,"rejection",40,"front","woman","17","white",50,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"30HS1","non-chooser","incorrect",3
"80","Yes","live","female","absent","b","filler","other",0,"identification",70,"front","man","50+","white",80,100,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"30live1","chooser","incorrect",3
"no","No","live","male","present","b","rejection","other",0,"rejection",0,"front","man","50+","white",0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"30live1","non-chooser","incorrect",5
"no","Not sure","FB","female","present","a","rejection","target",0,"not sure",50,"back","man","19","white",40,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"31FB1","non-chooser","incorrect",6
"50","Yes","FB","male","absent","a","filler","other",1,"identification",50,"back","man","19","white",50,100,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"31FB1","chooser","incorrect",4
"60","Yes","HS","female","present","a","target","other",0,"identification",80,"middle","woman","49","white",60,50,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"31HS1","chooser","correct",6
"no","No","HS","male","absent","a","rejection","other",0,"rejection",30,"middle","woman","49","white",80,90,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"31HS1","non-chooser","correct",5
"20","Yes","live","female","present","b","filler","other",0,"identification",60,"back","man","17","white",20,100,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"31live1","chooser","incorrect",3
"no","No","live","male","absent","b","rejection","other",0,"rejection",80,"back","man","17","white",30,100,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,"31live1","non-chooser","correct",2
"no","Not sure","FB","female","present","a","rejection","filler",0,"rejection",50,"back","woman","17","white",50,70,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"32FB1","non-chooser","incorrect",1
"no","Not sure","FB","male","absent","a","rejection","innocent",0,"not sure",40,"back","woman","17","white",40,70,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"32FB1","non-chooser","correct",7
"90","Yes","HS","female","absent","b","innocent","other",1,"identification",80,"front","woman","41","white",90,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"32HS1","chooser","incorrect",6
"no","No","HS","male","present","b","rejection","other",0,"rejection",50,"front","woman","41","white",40,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"32HS1","non-chooser","incorrect",3
"50","Yes","live","female","absent","b","filler","other",0,"identification",70,"front","woman","19","white",50,60,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"32live1","chooser","incorrect",2
"no","No","live","male","present","b","rejection","other",0,"rejection",70,"front","woman","19","white",70,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"32live1","non-chooser","incorrect",1
"80","Yes","FB","female","present","c","filler","other",0,"identification",80,"back","man","50","white",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33FB2","chooser","incorrect",3
"70","Yes","FB","male","absent","c","filler","other",1,"identification",50,"back","man","50","white",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33FB2","chooser","incorrect",3
"60","Yes","HS","female","present","c","filler","other",0,"identification",70,"middle","woman","49","white",40,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"33HS2","chooser","incorrect",1
"60","Yes","HS","male","absent","c","innocent","other",0,"identification",70,"middle","woman","49","white",50,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"33HS2","chooser","incorrect",7
"no","Not sure","live","female","present","c","rejection","target",0,"not sure",50,"middle","man","50","white",40,100,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"33live2","non-chooser","incorrect",6
"70","Yes","live","male","present","c","filler","other",0,"identification",60,"middle","man","50","white",70,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"33live2","chooser","incorrect",5
"no","No","FB","female","absent","c","rejection","other",0,"rejection",70,"back","woman","17","white",20,90,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"34FB2","non-chooser","correct",3
"no","No","FB","male","present","c","rejection","other",0,"rejection",50,"back","woman","17","white",80,90,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"34FB2","non-chooser","incorrect",2
"no","No","HS","female","present","c","rejection","other",0,"rejection",70,"middle","woman","16","white",30,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"34HS2","non-chooser","incorrect",1
"50","Yes","HS","male","absent","c","filler","other",0,"identification",60,"middle","woman","16","white",60,70,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"34HS2","chooser","incorrect",5
"no","No","live","female","absent","c","rejection","other",0,"rejection",60,"back","man","17","white",20,70,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"34live2","non-chooser","correct",5
"no","Not sure","live","male","present","c","rejection","target",0,"not sure",40,"back","man","17","white",40,70,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"34live2","non-chooser","incorrect",6
"no","No","FB","female","absent","c","rejection","other",0,"rejection",40,"middle","man","49","white",100,60,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"35FB2","non-chooser","correct",1
"100","Yes","FB","male","present","c","target","other",0,"identification",70,"middle","man","49","white",100,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"35FB2","chooser","correct",6
"60","Yes","HS","female","absent","c","innocent","other",1,"identification",50,"middle","man","17","white",70,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"35HS2","chooser","incorrect",7
"no","No","HS","male","present","c","rejection","other",0,"rejection",80,"middle","man","17","white",100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"35HS2","non-chooser","incorrect",3
"50","Yes","FB","female","absent","d","filler","other",1,"identification",80,"front","woman","50's","white",40,50,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"36FB2","chooser","incorrect",1
"no","Not sure","FB","male","present","d","rejection","target",1,"not sure",80,"front","woman","50's","white",20,40,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"36FB2","non-chooser","incorrect",7
"no","No","HS","female","absent","d","rejection","other",0,"rejection",30,"back","woman","63","white",10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"36HS2","non-chooser","correct",1
"no","Not sure","HS","male","present","d","rejection","target",0,"not sure",30,"back","woman","63","white",10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"36HS2","non-chooser","incorrect",7
"no","Not sure","live","female","present","c","rejection","target",0,"not sure",70,"back","man","61","white",100,70,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"36live2","non-chooser","incorrect",6
"no","No","live","male","present","c","rejection","other",0,"rejection",60,"back","man","61","white",80,80,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,"36live2","non-chooser","incorrect",5
"40","Yes","FB","female","present","d","filler","other",0,"identification",60,"back","woman","55","white",40,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37FB2","chooser","incorrect",4
"no","No","FB","male","absent","d","rejection","other",0,"rejection",60,"back","woman","55","white",40,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"37FB2","non-chooser","correct",3
"no","No","HS","female","absent","d","rejection","other",0,"rejection",50,"back","woman","17","white",40,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"37HS2","non-chooser","correct",3
"no","No","HS","male","present","d","rejection","other",0,"rejection",90,"back","woman","17","white",10,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"37HS2","non-chooser","incorrect",3
"60","Yes","live","female","present","d","target","other",0,"identification",70,"back","man","18","white",100,90,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"37live2","chooser","correct",7
"70","Yes","live","male","absent","d","filler","other",2,"identification",70,"back","man","18","white",20,90,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,"37live2","chooser","incorrect",5
"40","Yes","FB","female","present","d","filler","other",0,"identification",90,"front","woman","17","white",60,80,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"38FB2","chooser","incorrect",1
"80","Yes","FB","male","absent","d","filler","other",1,"identification",90,"front","woman","17","white",90,90,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"38FB2","chooser","incorrect",3
"no","No","HS","female","absent","d","rejection","other",0,"rejection",50,"front","man","19","white",50,50,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"38HS2","non-chooser","correct",1
"no","No","HS","male","present","d","rejection","other",0,"rejection",80,"front","man","19","white",70,60,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"38HS2","non-chooser","incorrect",4
"70","Yes","live","female","present","d","filler","other",1,"identification",40,"middle","woman","17","white",60,90,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"38live2","chooser","incorrect",4
"no","No","live","male","absent","d","rejection","other",0,"rejection",30,"middle","woman","17","white",70,90,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,"38live2","non-chooser","correct",5
"no","No","FB","female","present","d","rejection","other",1,"rejection",70,"middle","man","48","asian",30,70,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"39FB2","non-chooser","incorrect",1
"no","No","FB","male","absent","d","rejection","other",0,"rejection",60,"middle","man","48","asian",50,70,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"39FB2","non-chooser","correct",1
"60","Yes","HS","female","present","d","filler","other",1,"identification",100,"front","woman","53","white",50,50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"39HS2","chooser","incorrect",4
"40","Yes","HS","male","absent","d","filler","other",0,"identification",80,"front","woman","53","white",40,40,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"39HS2","chooser","incorrect",3
"90","Yes","live","female","absent","d","filler","other",0,"identification",90,"middle","woman","30","white",90,90,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,"39live2","chooser","incorrect",3
"100","Yes","live","male","present","d","target","other",1,"identification",90,"middle","woman","30","white",70,60,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,"39live2","chooser","correct",7
"no","No","FB","female","absent","d","rejection","other",0,"rejection",80,"front","woman","17","white",70,80,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"40FB2","non-chooser","correct",5
"100","Yes","FB","male","present","d","filler","other",1,"identification",40,"front","woman","17","white",60,70,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"40FB2","chooser","incorrect",5
"no","No","HS","female","present","d","rejection","other",0,"rejection",90,"front","woman","48","white",70,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"40HS2","non-chooser","incorrect",4
"no","Not sure","HS","male","absent","d","rejection","innocent",0,"not sure",30,"front","woman","48","white",20,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"40HS2","non-chooser","correct",6
"no","No","live","female","absent","d","rejection","other",0,"rejection",60,"front","woman","18","asian",60,90,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"40live2","non-chooser","correct",4
"no","Not sure","live","male","present","d","rejection","filler",0,"rejection",60,"front","woman","18","asian",60,90,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"40live2","non-chooser","incorrect",1
"50","Yes","FB","female","present","d","filler","other",0,"identification",70,"front","man","18","white",70,50,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"41FB2","chooser","incorrect",1
"no","No","FB","male","absent","d","rejection","other",0,"rejection",70,"front","man","18","white",20,20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"41FB2","non-chooser","correct",5
"60","Yes","HS","female","absent","d","filler","other",0,"identification",100,"front","woman","17","black",60,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"41HS2","chooser","incorrect",1
"60","Yes","HS","male","present","d","filler","other",0,"identification",100,"front","woman","17","black",60,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"41HS2","chooser","incorrect",3
"no","No","live","female","absent","c","rejection","other",0,"rejection",50,"front","woman","34","white",20,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"41live2","non-chooser","correct",3
"no","No","live","male","present","c","rejection","other",0,"rejection",50,"front","woman","34","white",10,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"41live2","non-chooser","incorrect",3
"50","Yes","FB","female","present","c","target","other",0,"identification",70,"front","woman","22","white",50,40,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"42FB2","chooser","correct",6
"no","No","FB","male","absent","c","rejection","other",0,"rejection",80,"front","woman","22","white",50,70,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"42FB2","non-chooser","correct",2
"no","No","HS","female","present","c","rejection","other",0,"rejection",50,"back","man","18","asian",40,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"42HS2","non-chooser","incorrect",5
"60","Yes","HS","male","absent","c","filler","other",0,"identification",30,"back","man","18","asian",60,60,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"42HS2","chooser","incorrect",5
"30","Yes","live","female","present","c","target","other",0,"identification",60,"front","woman","18","white",40,60,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"42live2","chooser","correct",6
"no","Not sure","FB","female","absent","c","rejection","innocent",0,"not sure",60,"front","man","51","white",10,20,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,"43FB2","non-chooser","correct",7
"100","Yes","FB","male","present","c","filler","other",0,"identification",70,"front","man","51","white",100,100,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"43FB2","chooser","incorrect",5
"no","Not sure","HS","female","absent","c","rejection","innocent",0,"not sure",70,"front","woman","17","white",50,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"43HS2","non-chooser","correct",7
"50","Yes","HS","male","present","c","filler","other",0,"identification",60,"front","woman","17","white",60,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"43HS2","chooser","incorrect",5
"60","Yes","live","female","absent","c","filler","other",0,"identification",80,"front","woman","52","white",30,40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"43live2","chooser","incorrect",3
"90","Yes","live","male","present","c","target","other",0,"identification",80,"front","woman","52","white",90,40,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"43live2","chooser","correct",6
"no","No","FB","female","absent","c","rejection","other",1,"rejection",60,"back","woman","55","white",60,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"44FB2","non-chooser","correct",1
"60","Yes","FB","male","present","c","filler","other",1,"identification",80,"back","woman","55","white",80,80,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"44FB2","chooser","incorrect",2
"60","Yes","HS","female","absent","c","filler","other",1,"identification",40,"back","woman","46","white",60,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"44HS2","chooser","incorrect",3
"no","Not sure","HS","male","present","c","rejection","filler",1,"rejection",60,"back","woman","46","white",40,70,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"44HS2","non-chooser","incorrect",3
"no","Not sure","live","female","present","c","rejection","filler",0,"rejection",50,"front","woman","43","white",80,90,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"44live2","non-chooser","incorrect",4
"no","Not sure","live","male","present","c","rejection","target",0,"not sure",60,"front","woman","43","white",80,90,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,"44live2","non-chooser","incorrect",6
"no","No","FB","female","absent","c","rejection","other",0,"rejection",70,"front","woman","18","white",50,80,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"45FB2","non-chooser","correct",5
"no","Not sure","FB","male","present","c","rejection","filler",0,"rejection",50,"front","woman","18","white",70,80,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"45FB2","non-chooser","incorrect",3
"70","Yes","HS","female","present","c","filler","other",2,"identification",60,"back","woman","43","white",70,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"45HS2","chooser","incorrect",4
"70","Yes","HS","male","absent","c","filler","other",1,"identification",80,"back","woman","43","white",70,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"45HS2","chooser","incorrect",5
"no","No","live","female","present","c","rejection","other",0,"rejection",70,"front","man","54","white",30,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"45live2","non-chooser","incorrect",4
"80","Yes","live","male","present","c","target","other",0,"identification",80,"front","man","54","white",80,90,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"45live2","chooser","correct",6
"no","Not sure","FB","female","present","c","rejection","filler",0,"rejection",50,"front","woman","50","",30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46FB2","non-chooser","incorrect",3
"no","Not sure","FB","male","absent","c","rejection","innocent",0,"not sure",50,"front","woman","50","",NA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46FB2","non-chooser","correct",7
"no","Not sure","HS","female","present","c","rejection","target",0,"not sure",60,"middle","woman","17","white",30,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"46HS2","non-chooser","incorrect",6
"40","Yes","HS","male","absent","c","filler","other",0,"identification",50,"middle","woman","17","white",50,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"46HS2","chooser","incorrect",5
"50","Yes","live","female","present","c","filler","other",0,"identification",50,"front","man","51","white",50,100,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"46live2","chooser","incorrect",4
"no","No","live","male","absent","c","rejection","other",0,"rejection",50,"front","man","51","white",50,100,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"46live2","non-chooser","correct",1
"50","Yes","FB","female","present","c","target","other",0,"identification",40,"front","woman","18","white",50,90,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"47FB2","chooser","correct",6
"60","Yes","FB","male","absent","c","filler","other",0,"identification",40,"front","woman","18","white",80,90,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"47FB2","chooser","incorrect",5
"no","No","HS","female","absent","c","rejection","other",0,"rejection",80,"front","man","46","white",20,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"47HS2","non-chooser","correct",3
"no","No","HS","male","present","c","rejection","other",0,"rejection",60,"front","man","46","white",70,80,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"47HS2","non-chooser","incorrect",5
"70","Yes","live","female","absent","c","filler","other",1,"identification",80,"front","woman","48","white",60,50,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"47live2","chooser","incorrect",1
"no","Not sure","live","male","present","c","rejection","target",0,"not sure",70,"front","woman","48","white",10,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"47live2","non-chooser","incorrect",6
"60","Yes","FB","female","present","c","filler","other",1,"identification",40,"back","man","44","white",70,80,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"48FB2","chooser","incorrect",1
"40","Yes","FB","male","absent","c","filler","other",0,"identification",40,"back","man","44","white",70,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"48FB2","chooser","incorrect",5
"40","Yes","HS","female","present","c","filler","other",1,"identification",80,"front","woman","18","white",50,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"48HS2","chooser","incorrect",1
"60","Yes","HS","male","absent","c","filler","other",0,"identification",80,"front","woman","18","white",80,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"48HS2","chooser","incorrect",5
"80","Yes","live","female","absent","c","filler","other",0,"identification",10,"front","man","18","white",80,90,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"48live2","chooser","incorrect",5
"70","Yes","live","male","present","c","target","other",0,"identification",10,"front","man","18","white",70,90,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"48live2","chooser","correct",6
"90","Yes","FB","female","present","c","target","other",0,"identification",80,"back","woman","18","white",100,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"49FB2","chooser","correct",6
"no","No","FB","male","absent","c","rejection","other",0,"rejection",80,"back","woman","18","white",100,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"49FB2","non-chooser","correct",2
"80","Yes","HS","female","present","c","filler","other",1,"identification",70,"front","woman","17","white",80,80,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"49HS2","chooser","incorrect",3
"70","Yes","HS","male","absent","c","filler","other",1,"identification",60,"front","woman","17","white",70,80,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"49HS2","chooser","incorrect",5
"no","No","live","female","absent","c","rejection","other",0,"rejection",80,"back","woman","19","white",50,40,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"49live2","non-chooser","correct",3
"no","Not sure","live","male","present","c","rejection","target",0,"not sure",70,"back","woman","19","white",40,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"49live2","non-chooser","incorrect",6
"no","Not sure","FB","female","absent","c","rejection","innocent",0,"not sure",40,"back","woman","18","white",10,70,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,"50FB2","non-chooser","correct",7
"no","No","HS","female","present","c","rejection","other",0,"rejection",70,"middle","woman","17","white",20,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"50HS2","non-chooser","incorrect",1
"no","No","HS","male","absent","c","rejection","other",0,"rejection",40,"middle","woman","17","white",10,70,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"50HS2","non-chooser","correct",2
"60","Yes","live","female","present","c","target","other",0,"identification",80,"middle","man","17","asian",60,90,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,"50live2","chooser","correct",6
"no","No","live","male","absent","c","rejection","other",0,"rejection",70,"middle","man","17","asian",90,80,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,"50live2","non-chooser","correct",2
"no","Not sure","FB","female","absent","d","rejection","innocent",0,"not sure",100,"back","woman","18","white",70,80,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"51FB2","non-chooser","correct",6
"no","No","FB","male","present","d","rejection","other",0,"rejection",90,"back","woman","18","white",90,90,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,"51FB2","non-chooser","incorrect",4
"no","No","HS","female","present","d","rejection","other",0,"rejection",50,"back","woman","pnts","white",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"51HS2","non-chooser","incorrect",3
"10","Yes","HS","male","absent","d","innocent","other",1,"identification",50,"back","woman","pnts","white",20,20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"51HS2","chooser","incorrect",6
"no","No","live","female","absent","d","rejection","other",0,"rejection",50,"middle","woman","47","white",20,70,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"51live2","non-chooser","correct",5
"80","Yes","live","male","present","d","filler","other",0,"identification",50,"middle","woman","47","white",80,90,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"51live2","chooser","incorrect",1
"no","No","FB","female","absent","c","rejection","other",0,"rejection",70,"middle","woman","17","asian",60,90,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"52FB3","non-chooser","correct",3
"no","No","FB","male","present","c","rejection","other",0,"rejection",70,"middle","woman","17","asian",40,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"52FB3","non-chooser","incorrect",3
"50","Yes","live","female","absent","d","filler","other",0,"identification",100,"middle","man","18","white",50,80,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"52live2","chooser","incorrect",5
"50","Yes","live","male","present","d","filler","other",0,"identification",70,"middle","man","18","white",50,80,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"52live2","chooser","incorrect",5
"20","Yes","FB","female","absent","c","filler","other",0,"identification",50,"back","woman","17","white",30,20,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"53FB3","chooser","incorrect",1
"40","Yes","FB","male","present","c","target","other",0,"identification",70,"back","woman","17","white",60,30,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"53FB3","chooser","correct",6
