Experiment,idnumber,RecruitedFrom,age,ethnicity,education,gender,condition,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,targetPresent,participantTargetPresent,participantSelection,accuracy,participantIDdecision,accuracyInnocentSupsect,confidence,question1ans,question1acc,completed before,include
Exp2,11837,mturk,28,LatinHispanic,Masters Degree,Female,3,50,56,42,21,110,4,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,11838,mturk,47,WhiteEuropean,2-Year College Degree (Associates),Male,1,50,108,110,36,100,17,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,11841,mturk,20,WhiteEuropean,4-Year College Degree (BA BS),Female,2,77,89,60,13,110,49,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,11842,mturk,25,BlackAfrican,Masters Degree,Male,3,84,110,49,46,20,98,0,1,49,0,Filler ID,NA,30,1,1,0,yes
Exp2,11843,mturk,32,WhiteEuropean,Masters Degree,Female,3,104,110,64,69,77,2,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,11844,mturk,27,WhiteEuropean,High School/GED,Male,2,110,5,94,38,98,76,0,0,Not present,1,Correct Reject,NA,30,1,1,0,yes
Exp2,11845,mturk,23,WhiteEuropean,Currently Attending College,Female,2,3,55,82,66,78,110,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11846,mturk,49,WhiteEuropean,Masters Degree,Male,3,58,23,94,110,55,20,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11847,mturk,17,WhiteEuropean,High School/GED,Male,3,92,31,110,5,53,46,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11848,mturk,21,WhiteEuropean,Currently Attending College,Male,3,110,42,81,73,7,56,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11849,mturk,33,NR,NR,Male,1,81,110,41,82,102,18,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11850,mturk,32,LatinHispanic,4-Year College Degree (BA BS),Male,3,52,81,29,57,1,110,0,1,52,0,Filler ID,NA,80,1,1,0,yes
Exp2,11852,mturk,44,WhiteEuropean,High School/GED,Female,2,72,93,24,55,110,100,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11853,mturk,30,AsianIndian,Professional Degree (MD JD),Male,1,52,110,105,66,46,64,1,1,66,0,Filler ID,NA,40,1,1,0,yes
Exp2,11854,mturk,20,WhiteEuropean,Currently Attending College,Male,1,41,34,95,77,110,20,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11855,mturk,46,WhiteEuropean,High School/GED,Female,1,110,47,88,70,26,68,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,11856,mturk,29,WhiteEuropean,Currently Attending College,Female,1,78,110,36,68,35,40,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,11857,mturk,31,LatinHispanic,High School/GED,Female,2,6,110,109,7,27,101,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,11858,mturk,25,WhiteEuropean,Masters Degree,Male,1,110,65,33,36,4,72,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,11859,mturk,56,WhiteEuropean,4-Year College Degree (BA BS),Female,3,43,29,78,47,8,110,0,0,Not present,1,Correct Reject,NA,50,4,0,0,no
Exp2,11860,mturk,29,WhiteEuropean,4-Year College Degree (BA BS),Female,3,80,73,39,110,57,45,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,11862,mturk,30,WhiteEuropean,4-Year College Degree (BA BS),Male,1,29,53,105,110,40,35,1,1,105,0,Filler ID,NA,40,1,1,0,yes
Exp2,11864,mturk,22,WhiteEuropean,2-Year College Degree (Associates),Male,1,68,103,57,94,110,67,1,1,110,1,Correct ID,1,30,1,1,0,yes
Exp2,11865,mturk,46,WhiteEuropean,High School/GED,Female,3,54,70,67,26,81,110,0,1,70,0,Filler ID,NA,80,1,1,0,yes
Exp2,11866,mturk,33,LatinHispanic,4-Year College Degree (BA BS),Male,3,110,57,48,84,69,7,1,0,Not present,0,Incorrect Reject,NA,100,1,1,0,yes
Exp2,11868,mturk,21,Other,Masters Degree,Female,1,79,106,89,57,4,110,1,1,110,1,Correct ID,1,40,1,1,0,yes
Exp2,11869,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,79,36,64,105,82,0,0,Not present,1,Correct Reject,NA,10,1,1,0,yes
Exp2,11871,mturk,24,WhiteEuropean,4-Year College Degree (BA BS),Male,1,99,110,90,105,68,16,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11872,mturk,36,WhiteEuropean,4-Year College Degree (BA BS),Male,2,100,8,66,37,110,82,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,11873,mturk,37,WhiteEuropean,2-Year College Degree (Associates),Female,2,56,76,91,107,84,110,1,0,Not present,0,Incorrect Reject,NA,60,1,1,0,yes
Exp2,11874,mturk,18,WhiteEuropean,Currently Attending College,Male,2,12,70,40,58,92,110,0,1,70,0,Filler ID,NA,70,1,1,0,yes
Exp2,11875,mturk,48,WhiteEuropean,High School/GED,Female,3,108,96,22,52,110,57,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,11877,mturk,40,AsianIndian,4-Year College Degree (BA BS),Female,1,110,99,106,73,104,44,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,11878,mturk,23,AsianIndian,4-Year College Degree (BA BS),Female,1,53,69,110,76,79,5,0,1,110,0,False ID,0,50,1,1,0,yes
Exp2,11880,mturk,25,WhiteEuropean,High School/GED,Female,3,37,107,47,110,105,85,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,11881,mturk,38,WhiteEuropean,4-Year College Degree (BA BS),Female,3,44,23,84,105,65,110,1,0,Not present,0,Incorrect Reject,NA,100,1,1,0,yes
Exp2,11882,mturk,36,LatinHispanic,High School/GED,Male,3,37,95,71,34,50,110,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,11884,mturk,35,WhiteEuropean,High School/GED,Female,2,14,91,88,96,110,8,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11885,mturk,57,WhiteEuropean,2-Year College Degree (Associates),Female,3,105,110,55,68,98,45,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11887,mturk,34,LatinHispanic,2-Year College Degree (Associates),Female,2,54,110,80,73,79,15,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11889,mturk,32,WhiteEuropean,Masters Degree,Female,2,43,110,62,72,40,10,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,11891,mturk,48,WhiteEuropean,Masters Degree,Male,1,80,44,35,25,78,110,0,1,35,0,Filler ID,NA,60,1,1,0,yes
Exp2,11892,mturk,48,WhiteEuropean,4-Year College Degree (BA BS),Female,1,67,43,63,50,102,110,0,0,Not present,1,Correct Reject,NA,20,1,1,0,yes
Exp2,11896,mturk,38,AsianIndian,2-Year College Degree (Associates),Male,2,23,110,29,19,41,84,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11897,mturk,20,WhiteEuropean,Currently Attending College,Female,3,48,100,82,110,87,63,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,11899,mturk,34,WhiteEuropean,Masters Degree,Female,3,21,9,93,26,110,46,0,1,93,0,Filler ID,NA,30,1,1,0,yes
Exp2,11900,mturk,32,AsianIndian,Masters Degree,Male,2,1,102,104,110,88,5,0,1,104,0,Filler ID,NA,100,1,1,0,yes
Exp2,11901,mturk,24,AsianIndian,Currently Attending College,Female,2,21,110,38,43,57,22,1,1,21,0,Filler ID,NA,60,1,1,0,yes
Exp2,11902,mturk,52,WhiteEuropean,High School/GED,Female,1,88,68,47,49,84,110,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,11903,mturk,35,WhiteEuropean,4-Year College Degree (BA BS),Male,2,100,95,23,13,103,110,0,1,100,0,Filler ID,NA,40,1,1,0,yes
Exp2,11904,mturk,29,WhiteEuropean,Masters Degree,Female,3,81,68,37,24,8,110,1,1,68,0,Filler ID,NA,60,1,1,0,yes
Exp2,11905,mturk,23,LatinHispanic,4-Year College Degree (BA BS),Female,3,96,102,110,46,90,29,0,0,Not present,1,Correct Reject,NA,0,1,1,0,yes
Exp2,11907,mturk,53,AsianIndian,4-Year College Degree (BA BS),Male,3,74,29,110,54,37,84,0,1,37,0,Filler ID,NA,30,1,1,0,yes
Exp2,11909,mturk,40,AsianIndian,4-Year College Degree (BA BS),Male,2,76,80,61,69,103,110,0,1,103,0,Filler ID,NA,60,1,1,0,yes
Exp2,11910,mturk,24,Other,4-Year College Degree (BA BS),Male,1,81,2,8,110,13,75,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,11911,mturk,33,WhiteEuropean,High School/GED,Female,1,26,110,103,30,41,63,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11912,mturk,60,WhiteEuropean,2-Year College Degree (Associates),Female,1,102,99,28,110,67,96,1,1,99,0,Filler ID,NA,20,1,1,0,yes
Exp2,11913,mturk,24,WhiteEuropean,Currently Attending College,Male,1,2,14,83,110,17,68,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,11914,mturk,28,WhiteEuropean,4-Year College Degree (BA BS),Male,2,110,60,54,10,44,1,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,11915,mturk,20,WhiteEuropean,High School/GED,Female,1,14,36,63,110,2,35,0,1,14,0,Filler ID,NA,20,1,1,0,yes
Exp2,11916,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,13,109,83,100,78,0,1,83,0,Filler ID,NA,40,1,1,0,yes
Exp2,11917,mturk,34,LatinHispanic,Masters Degree,Male,3,34,57,110,45,27,4,1,1,110,1,Correct ID,1,0,1,1,0,yes
Exp2,11918,mturk,27,WhiteEuropean,High School/GED,Female,2,110,64,26,91,88,54,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,11919,mturk,21,WhiteEuropean,High School/GED,Male,2,42,78,71,69,110,97,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,11921,mturk,29,LatinHispanic,Professional Degree (MD JD),Female,3,21,106,110,22,84,82,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11922,mturk,41,WhiteEuropean,4-Year College Degree (BA BS),Female,1,11,57,104,80,107,110,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11925,mturk,33,BlackAfrican,Masters Degree,Female,2,66,58,22,45,63,110,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,11926,mturk,29,WhiteEuropean,4-Year College Degree (BA BS),Male,2,21,100,105,110,39,90,1,0,Not present,0,Incorrect Reject,NA,70,1,1,0,yes
Exp2,11930,mturk,28,LatinHispanic,Currently Attending College,Female,2,98,36,110,71,4,32,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11931,mturk,30,WhiteEuropean,High School/GED,Female,1,33,42,2,93,41,110,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,11934,mturk,26,WhiteEuropean,4-Year College Degree (BA BS),Male,2,90,110,84,18,73,78,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11935,mturk,33,WhiteEuropean,Masters Degree,Male,1,85,110,74,6,30,42,1,0,Not present,0,Incorrect Reject,NA,70,1,1,0,yes
Exp2,11936,mturk,38,WhiteEuropean,NR,Female,3,86,28,65,110,7,40,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,11937,mturk,30,WhiteEuropean,4-Year College Degree (BA BS),Female,1,98,51,37,3,110,87,0,1,98,0,Filler ID,NA,60,1,1,0,yes
Exp2,11938,mturk,50,Native American,Masters Degree,Female,1,110,8,109,14,51,101,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,11939,mturk,40,WhiteEuropean,Masters Degree,Female,2,21,110,41,32,24,72,0,0,Not present,1,Correct Reject,NA,40,1,1,0,yes
Exp2,11940,mturk,28,WhiteEuropean,High School/GED,Male,3,99,76,17,110,28,41,1,0,Not present,0,Incorrect Reject,NA,60,1,1,0,yes
Exp2,11941,mturk,42,WhiteEuropean,2-Year College Degree (Associates),Female,1,51,110,98,58,75,27,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11943,mturk,31,WhiteEuropean,4-Year College Degree (BA BS),Male,2,101,80,53,110,73,22,1,1,73,0,Filler ID,NA,40,1,1,0,yes
Exp2,11944,mturk,19,WhiteEuropean,Currently Attending College,Male,1,94,87,64,43,106,110,1,1,87,0,Filler ID,NA,70,1,1,0,yes
Exp2,11945,mturk,42,WhiteEuropean,2-Year College Degree (Associates),Male,2,7,110,24,22,70,2,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,11946,mturk,41,WhiteEuropean,4-Year College Degree (BA BS),Male,1,42,87,93,110,8,16,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,11947,mturk,58,WhiteEuropean,4-Year College Degree (BA BS),Male,1,9,110,44,25,58,87,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11948,mturk,31,AsianIndian,4-Year College Degree (BA BS),Female,1,5,86,59,110,1,60,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,11949,mturk,27,LatinHispanic,Currently Attending College,Male,3,69,29,55,110,62,107,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,11950,mturk,33,WhiteEuropean,Masters Degree,Female,3,82,18,74,21,110,92,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11953,mturk,41,WhiteEuropean,High School/GED,Male,3,70,62,78,25,53,110,1,1,62,0,Filler ID,NA,100,1,1,0,yes
Exp2,11954,mturk,29,Mixed Ethnicity,Currently Attending College,Male,3,18,63,2,110,93,58,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,11955,mturk,52,WhiteEuropean,Doctoral Degree,Male,2,89,110,68,52,32,75,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11957,mturk,38,WhiteEuropean,Professional Degree (MD JD),Male,2,86,94,110,88,57,108,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11958,mturk,41,AsianIndian,4-Year College Degree (BA BS),Male,2,30,42,110,8,46,68,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,11959,mturk,27,WhiteEuropean,4-Year College Degree (BA BS),Female,2,46,56,110,50,23,79,0,1,110,0,False ID,0,20,1,1,0,yes
Exp2,11961,mturk,34,WhiteEuropean,4-Year College Degree (BA BS),Male,2,48,17,74,29,23,110,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,11962,mturk,21,WhiteEuropean,Currently Attending College,Male,3,103,67,89,74,19,110,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,11963,mturk,47,WhiteEuropean,High School/GED,Male,2,56,24,105,39,80,110,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,11964,mturk,32,WhiteEuropean,High School/GED,Female,2,65,106,82,110,88,104,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11965,mturk,25,LatinHispanic,4-Year College Degree (BA BS),Male,3,110,28,49,41,33,80,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,11966,mturk,31,AsianIndian,4-Year College Degree (BA BS),Female,3,102,96,77,55,110,85,0,1,96,0,Filler ID,NA,30,1,1,0,yes
Exp2,11967,mturk,19,BlackAfrican,High School/GED,Male,3,110,68,82,78,25,36,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,11968,mturk,36,BlackAfrican,High School/GED,Female,1,110,54,21,62,13,24,1,0,Not present,0,Incorrect Reject,NA,20,1,1,0,yes
Exp2,11969,mturk,40,WhiteEuropean,2-Year College Degree (Associates),Female,1,53,18,45,110,101,6,1,1,18,0,Filler ID,NA,40,1,1,0,yes
Exp2,11970,mturk,41,AsianIndian,Professional Degree (MD JD),Male,3,8,44,25,60,29,110,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11971,mturk,44,AsianIndian,4-Year College Degree (BA BS),Male,3,32,106,44,33,110,29,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11972,mturk,64,WhiteEuropean,2-Year College Degree (Associates),Female,1,34,54,110,26,28,11,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,11974,mturk,30,BlackAfrican,4-Year College Degree (BA BS),Female,1,43,81,110,58,30,28,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11979,mturk,35,Other,High School/GED,Female,3,6,91,110,106,63,34,0,1,91,0,Filler ID,NA,50,1,1,0,yes
Exp2,11980,mturk,26,AsianIndian,Masters Degree,Female,3,110,74,76,92,73,105,1,1,110,1,Correct ID,1,20,1,1,0,yes
Exp2,11981,mturk,39,WhiteEuropean,2-Year College Degree (Associates),Female,2,60,31,86,110,39,7,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11982,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,73,54,5,24,23,0,0,Not present,1,Correct Reject,NA,30,1,1,0,yes
Exp2,11983,mturk,26,WhiteEuropean,High School/GED,Female,1,4,1,11,53,110,26,1,0,Not present,0,Incorrect Reject,NA,100,1,1,0,yes
Exp2,11984,mturk,34,WhiteEuropean,Masters Degree,Female,1,110,99,37,7,16,74,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11985,mturk,28,LatinHispanic,4-Year College Degree (BA BS),Female,3,4,39,73,69,110,86,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,11986,mturk,28,WhiteEuropean,High School/GED,Male,1,110,37,101,7,13,11,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11988,mturk,27,WhiteEuropean,High School/GED,Male,2,66,110,27,62,9,19,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,11989,mturk,26,LatinHispanic,Currently Attending College,NR,2,68,27,94,2,110,20,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,11990,mturk,45,WhiteEuropean,Masters Degree,Female,2,44,110,33,99,30,108,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,11992,mturk,33,WhiteEuropean,4-Year College Degree (BA BS),Male,2,102,9,110,41,33,60,1,0,Not present,0,Incorrect Reject,NA,60,1,1,0,yes
Exp2,11993,mturk,50,WhiteEuropean,4-Year College Degree (BA BS),Female,3,41,34,84,81,110,94,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,11996,mturk,30,LatinHispanic,Currently Attending College,Male,3,94,110,109,86,26,87,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,11997,mturk,23,WhiteEuropean,4-Year College Degree (BA BS),Female,3,42,77,67,95,110,40,0,0,Not present,1,Correct Reject,NA,40,1,1,0,yes
Exp2,11998,mturk,63,WhiteEuropean,Masters Degree,Female,3,44,99,91,110,78,18,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,11999,mturk,39,NR,4-Year College Degree (BA BS),Male,3,23,61,65,110,46,89,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,12001,mturk,42,WhiteEuropean,4-Year College Degree (BA BS),Female,1,78,36,52,110,9,3,0,1,9,0,Filler ID,NA,80,1,1,0,yes
Exp2,12002,mturk,33,LatinHispanic,4-Year College Degree (BA BS),Female,2,36,69,83,72,110,82,1,1,110,1,Correct ID,1,60,4,0,0,no
Exp2,12004,mturk,39,Mixed Ethnicity,High School/GED,Male,3,26,77,88,23,110,46,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,12006,mturk,27,WhiteEuropean,4-Year College Degree (BA BS),Male,3,42,18,101,70,81,110,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,12007,mturk,43,WhiteEuropean,High School/GED,Female,3,7,110,20,19,86,6,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,12008,mturk,30,WhiteEuropean,High School/GED,Female,1,101,36,8,110,109,80,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,12009,mturk,32,LatinHispanic,2-Year College Degree (Associates),NR,2,110,72,78,103,21,37,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,12010,mturk,40,LatinHispanic,Currently Attending College,Female,3,15,84,67,21,110,24,0,1,67,0,Filler ID,NA,40,1,1,0,yes
Exp2,12011,mturk,24,Mixed Ethnicity,4-Year College Degree (BA BS),NR,3,104,5,89,49,110,25,0,0,Not present,1,Correct Reject,NA,30,1,1,0,yes
Exp2,12012,mturk,29,Mixed Ethnicity,High School/GED,Female,3,63,35,110,74,53,71,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,12013,mturk,41,LatinHispanic,High School/GED,Male,2,99,104,110,55,80,93,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,12014,mturk,NR,NR,NR,NR,1,26,54,81,53,110,13,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,12016,mturk,22,Mixed Ethnicity,Currently Attending College,Male,3,107,110,50,82,16,47,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,12017,mturk,19,WhiteEuropean,Currently Attending College,Female,2,57,110,104,18,87,9,0,1,104,0,Filler ID,NA,50,1,1,0,yes
Exp2,12018,mturk,29,WhiteEuropean,Masters Degree,Male,2,55,60,109,71,98,110,1,0,Not present,0,Incorrect Reject,NA,0,1,1,0,yes
Exp2,12019,mturk,37,WhiteEuropean,4-Year College Degree (BA BS),Male,2,17,110,105,58,10,81,0,0,Not present,1,Correct Reject,NA,40,1,1,0,yes
Exp2,12021,mturk,27,Other,High School/GED,Male,2,84,89,32,75,110,4,1,1,110,1,Correct ID,1,40,1,1,0,yes
Exp2,12022,mturk,29,WhiteEuropean,4-Year College Degree (BA BS),Female,3,110,54,50,31,96,109,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,12023,mturk,39,LatinHispanic,Professional Degree (MD JD),Female,2,71,109,110,63,31,23,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,12024,mturk,29,LatinHispanic,Doctoral Degree,Female,3,92,32,3,86,94,110,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,12026,mturk,25,AsianIndian,Professional Degree (MD JD),Male,1,27,77,46,90,25,110,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,12028,mturk,34,WhiteEuropean,2-Year College Degree (Associates),Female,1,46,36,43,110,50,39,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,12029,mturk,28,WhiteEuropean,2-Year College Degree (Associates),Female,1,67,110,47,62,16,17,0,0,Not present,1,Correct Reject,NA,40,1,1,0,yes
Exp2,12033,mturk,30,WhiteEuropean,High School/GED,Male,2,35,65,110,104,54,43,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,12034,mturk,41,WhiteEuropean,2-Year College Degree (Associates),Female,1,19,39,110,102,58,11,1,0,Not present,0,Incorrect Reject,NA,70,1,1,0,yes
Exp2,12035,mturk,21,WhiteEuropean,2-Year College Degree (Associates),Female,3,100,66,106,42,11,110,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,12036,mturk,25,WhiteEuropean,High School/GED,Male,3,48,91,87,110,23,76,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,12037,mturk,29,AsianIndian,4-Year College Degree (BA BS),Male,3,100,48,110,81,50,56,0,1,100,0,Filler ID,NA,100,1,1,0,yes
Exp2,12040,mturk,27,LatinHispanic,4-Year College Degree (BA BS),Female,2,101,37,103,110,55,4,0,1,103,0,Filler ID,NA,70,1,1,0,yes
Exp2,12042,mturk,28,AsianIndian,Masters Degree,Male,3,53,77,110,20,92,98,1,1,110,1,Correct ID,1,70,2,0,0,no
Exp2,12044,mturk,32,WhiteEuropean,Masters Degree,Male,2,60,78,32,62,110,88,0,1,60,0,Filler ID,NA,30,1,1,0,yes
Exp2,12046,mturk,40,WhiteEuropean,4-Year College Degree (BA BS),Male,3,63,41,110,33,53,14,1,1,53,0,Filler ID,NA,70,1,1,0,yes
Exp2,12047,mturk,18,LatinHispanic,4-Year College Degree (BA BS),Male,3,52,38,110,26,70,94,0,0,Not present,1,Correct Reject,NA,20,1,1,0,yes
Exp2,12048,mturk,20,AsianIndian,Currently Attending College,Female,3,92,59,14,110,67,79,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,12049,mturk,20,WhiteEuropean,Currently Attending College,Male,2,74,54,110,102,79,87,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,12052,mturk,26,WhiteEuropean,4-Year College Degree (BA BS),Male,3,5,21,110,73,89,35,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,12053,mturk,31,WhiteEuropean,4-Year College Degree (BA BS),Male,2,110,101,48,37,34,53,1,1,37,0,Filler ID,NA,90,1,1,0,yes
Exp2,12054,mturk,23,Mixed Ethnicity,2-Year College Degree (Associates),Male,2,93,110,20,88,22,15,0,1,88,0,Filler ID,NA,70,1,1,0,yes
Exp2,12055,mturk,30,WhiteEuropean,Masters Degree,Female,3,110,75,30,100,86,2,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,12056,mturk,37,BlackAfrican,2-Year College Degree (Associates),Female,1,68,87,25,66,21,110,1,1,87,0,Filler ID,NA,30,1,1,0,yes
Exp2,12057,mturk,34,WhiteEuropean,Professional Degree (MD JD),NR,2,30,85,110,25,99,20,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,12058,mturk,27,AsianIndian,4-Year College Degree (BA BS),Female,3,70,71,87,51,45,110,0,1,110,0,False ID,0,30,1,1,0,yes
Exp2,12059,mturk,28,WhiteEuropean,Masters Degree,Female,2,54,110,22,25,23,106,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,12061,mturk,25,WhiteEuropean,High School/GED,Female,2,15,110,67,72,74,79,1,1,79,0,Filler ID,NA,40,1,1,0,yes
Exp2,12064,mturk,38,WhiteEuropean,4-Year College Degree (BA BS),Female,2,53,48,34,58,31,110,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,12065,mturk,38,WhiteEuropean,High School/GED,Male,3,15,20,86,90,110,25,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,12066,mturk,19,WhiteEuropean,High School/GED,Male,3,78,62,110,104,71,90,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,12067,mturk,29,WhiteEuropean,Masters Degree,Male,2,61,53,47,96,42,110,1,1,53,0,Filler ID,NA,70,1,1,0,yes
Exp2,12068,mturk,24,WhiteEuropean,2-Year College Degree (Associates),Female,2,67,74,110,13,108,97,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,12069,mturk,49,WhiteEuropean,Masters Degree,Male,2,26,78,6,76,81,110,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,12070,mturk,20,AsianIndian,Currently Attending College,Female,1,68,40,16,91,61,110,0,1,40,0,Filler ID,NA,60,1,1,0,yes
Exp2,12072,mturk,23,WhiteEuropean,4-Year College Degree (BA BS),Female,1,66,1,110,107,97,27,0,1,1,0,Filler ID,NA,60,1,1,0,yes
Exp2,12074,mturk,24,LatinHispanic,High School/GED,Female,1,110,29,104,30,28,27,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
